firstname	commonname	playerjerseyname	surname	playerid
Clebson Clementino	Clebson	Clebson	do Nascimento Silva	4555
Victor Hugo	Victor Hugo	Victor Hugo	Gomes da Silva	4556
Vinícius Alexandre	Vinícius Paulista	Vinícius Paulista	Pinto	4557
Igor	Igor Jesus	Igor Jesus	Jesus Lima	4558
Mateus	Mateusão	Mateusao	Dias Lima	4559
Wesley Gassova	Wesley	Wesley	Ribeiro Teixeira	4560
Matheus	Matheus Araújo	Matheus Araújo	de Araújo Andrade	4561
Felipe Augusto	Felipe Augusto	Felipe Augusto	da Silva	4562
Pedro Henrique	Pedro Oliveira	Pedro Olivera	Soares de Oliveira	4564
Ryan Luka	Ryan Luka	Ryan Luka	Cordeiro de Souza	4566
Marcos Vinícius	Marcos Vinícius	Marcos Vinícius	da Silva Santos	4567
Leonardo	Léo Tocantins	Léo Tocantins	Santiago Barcelar	4568
Cristian Renato	Cristian Renato	Cristian Renato	Gonçalves Riquelme	4569
Lucas	Lucas Barboza	Lucas Barboza	Barboza Rodrigues	4570
Cassiano	Cassiano	Cassiano	Rodrigues de Faria	4571
Thiago	Thiaguinho	Thiaguinho	Fernandes Rodrigues	4572
Matheus	Matheus Trindade	Matheus Trindade	Trindade Gonçalves	4573
Matheus	Moreira	Moreira	Moreira dos Reis	4574
Guilherme de Jesus	Guilherme Matos	Guilherme Matos	Matos	4575
Marcos Paulo	Marcos Paulo	Marcos Paulo	Lima Batista Silva	4576
Leonardo da Silva	Léo Duarte	Léo Duarte	Cruz Duarte	4577
Gabriel	Gabriel Taliari	Gabriel Taliari	Pereira Taliari	4578
João Pedro	Barba	Barba	de Giuli	4579
Reinaldo Kauãn	Kauãn	Kauãn	Bento dos Santos	4580
Allan	Allan	Allan	Roden	4581
Erick	Erick Varao	Erick Varao	de Souza Miranda	4582
Leandro	Pedoca	Pedoca	Macedo do Nascimento	4583
Eduardo Fernandes	Eduardo	Eduardo	Gomes Junior	4584
Yan	Yan	Yan	Vicentini Castellani	4585
